,name,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,votes,rating_text
1015,Ratan Sev Bhandar,Sarafa Bazaar,22.71793158,75.85322902,"Mithai, Bakery, Fast Food",250,4.2,191,Very Good
1016,Mathurawala Sweets,"Mathurawala, Airport Road",22.72485336,75.82415689,Mithai,300,2.5,265,Average
1017,Jain Mithai Bhandar,Manik Bagh Road,22.70784516,75.858346,"Mithai, Street Food",250,3.5,286,Good
1018,Suresh Namkeen and Sweets,YN Road,22.73275475,75.87454654,"Mithai, Street Food",200,4.1,143,Very Good
1019,Vikas Sweets & Restaurant,Rau,22.63073734,75.80740515,"North Indian, Fast Food, Street Food, Mithai",450,3.9,139,Good
1020,Annapurna Sweet Centre,Sudama Nagar,22.69662593,75.83201911,"Mithai, Bakery",300,3.7,207,Good
1021,Shri Sweets,MR 10 Road,22.75505745,75.87626684,Mithai,200,3.5,164,Good
1022,Nagori Sweets,Sarafa Bazaar,22.73500748,75.8909734,Mithai,200,4.1,177,Very Good
1023,Jain Mithai Bhandar,Old Palasia,22.727537,75.89441266,"Mithai, Fast Food, Street Food",350,3.7,150,Good
1024,Shri Agrawal Sweets,RNT Marg,22.72064009,75.87211311,Mithai,250,3.8,177,Good
1025,Ratan Sev Bhandar,Old Palasia,22.7256939,75.89471038,"Mithai, Bakery, Fast Food",250,4,117,Very Good
1026,Jagdeesh Sweets,Jail Road,22.72352,75.862416,"Street Food, Mithai",100,3.7,129,Good
1027,Mithas 24,Sudama Nagar,22.68347178,75.82989346,"Mithai, Fast Food, Street Food",200,2.7,105,Average
1028,Agrawal Sweets,"56 Dukan, New Palasia",22.72383562,75.8847091,Mithai,250,4,124,Very Good
1029,Mishri Sweets,Vijay Nagar,22.75241208,75.89549527,Mithai,250,3.7,121,Good
1030,JSK Sweets & Restaurant,Rau,22.63723556,75.81116159,"Mithai, Street Food",100,3.7,94,Good
1031,Madhuram Sweets,Sudama Nagar,22.68329607,75.82959808,"Mithai, North Indian",300,3.1,87,Average
1032,Jain Shree Sweets,Rajwada,22.71658473,75.85795205,Mithai,200,3.6,93,Good
1033,Vikas Sweets And Fast Food,Rau,22.64638745,75.82673885,"Fast Food, Mithai",150,3.6,85,Good
1034,Aajibai Sweets,Vijay Nagar,22.75960295,75.92226606,"Mithai, Street Food, Chinese, South Indian",300,3.5,78,Good
1035,Hello Halwai Namkeen,YN Road,22.73306522,75.87475006,"Mithai, Street Food",200,3.4,77,Average
1036,Shri Agrawal Sweets,Old Palasia,22.72551732,75.89365896,Mithai,250,3.8,83,Good
1037,Marothiya Pedewala,Old Palasia,22.72571183,75.89465037,Mithai,200,3.8,77,Good
1038,New Agrawal Sweets,Sapna Sangeeta,22.69974964,75.86737968,"Mithai, Street Food",250,3.8,55,Good
1039,Agrawal Sweets,Sarafa Bazaar,22.73500748,75.8909734,Mithai,250,2.8,87,Average
1040,Madhuram Sweets,Vijay Nagar,22.75681451,75.88820603,Mithai,250,3.5,83,Good
1041,Shankar Namkeen,MR 10 Road,22.75445517,75.86961597,"Mithai, Fast Food",250,3.8,60,Good
1042,Nema Sweets,Bombay Bazaar,22.71541012,75.84599342,Desserts,200,3.2,80,Average
1043,Shree Bhairavnath Misthan Bhandar,Sarafa Bazaar,22.73500748,75.8909734,Mithai,200,3.8,63,Good
1044,Jain Shree Sweets,Annapurna Road,22.69201462,75.83821133,Mithai,200,3.5,51,Good
1045,Jain Mithai Bhandar,Vijay Nagar,22.75649915,75.88958301,"Mithai, Street Food",200,2.4,50,Poor
1046,Marothiya Pedewala,Rajwada,22.71855753,75.85533019,Mithai,200,3.5,51,Good
1047,Shri Ram Sweets and Namkeen,Sudama Nagar,22.686343,75.824787,Mithai,300,3.5,48,Good
1048,Naman Namkeen Sweets and Bakery,Jail Road,22.72333,75.859943,"Mithai, Street Food",200,3.6,41,Good
1049,JMB - Jain Mithai Bhandar,Khajrana,22.72300961,75.91837015,"Mithai, Street Food",200,3.4,46,Average
1050,Shree Nath,Annapurna Road,22.69688235,75.83943475,"Mithai, Fast Food",300,3.4,28,Average
1051,Maheshwari Sweets,Navlakha,22.69633486,75.87938491,Mithai,250,3.7,27,Good
1052,Shree Gangour Sweets,New Palasia,22.72523683,75.88446837,"Mithai, Street Food",300,3.3,35,Average
1053,Shree Sundaram Sweet,Vijay Nagar,22.75205064,75.89589491,"South Indian, Fast Food, Chinese, Mithai",150,3.4,35,Average
1054,Chaar Bhuja Sweets & Namkeen,HIG-LIG,22.73613027,75.88375658,Mithai,200,2.6,32,Average
1055,Shree Baba Sweets,Jail Road,22.73500748,75.8909734,Mithai,100,3.4,29,Average
1056,New Mahaveer Dairy,Old Palasia,22.72571214,75.89468155,Mithai,200,3.6,28,Good
1057,Marothiya Pedewala,Airport Road,22.72452865,75.82522742,Mithai,300,3.5,21,Good
1058,Shree Arti Sweets,Sapna Sangeeta,22.69894049,75.8642311,"Mithai, Fast Food",350,3.4,21,Average
1059,Shree Meenakshi Sweets,Sapna Sangeeta,22.70308762,75.87232769,Mithai,250,3.4,28,Average
1060,Marothiya Pedewala,Ranjeet Hanuman,22.69966798,75.83602734,Mithai,200,3.3,28,Average
1061,Bhagat Singh Chandan Singh Dudh Walo Ki Mithaiya,Rajwada,22.71995817,75.85691303,Mithai,300,3.5,19,Good
1062,Shree Sweets,Vijay Nagar,22.74150725,75.90140652,"Mithai, Fast Food",200,3.2,18,Average
1063,Tasty Center,HIG-LIG,22.73856539,75.88241581,Mithai,200,3.4,25,Average
1064,Nema Gajak Kulfi,Bombay Bazaar,22.71558115,75.84763426,Desserts,200,2.8,22,Average
1065,Ladu Maharaj,Airport Road,22.7305796,75.81666045,Mithai,300,3.3,14,Average
1066,Mangal Sweets,Chhavani,22.70974139,75.87575018,Mithai,100,3.1,8,Average
1067,Surbhi Sweets,Annapurna Road,22.69201493,75.83820127,Mithai,400,3.4,18,Average
1068,Shree Mathurawala Sweets,Chhavani,22.70851755,75.87582596,Mithai,300,3.2,16,Average
1069,Jmb Jain Sweets,"56 Dukan, New Palasia",22.72424043,75.88474195,"Mithai, Chinese, South Indian, Street Food",200,3.2,9,Average
1070,Satyam Sweets,Airport Road,22.72050309,75.84065046,Mithai,200,3.2,6,Average
1071,Khandelwal Sweets,HIG-LIG,22.74235975,75.88307831,Mithai,300,3.3,13,Average
1072,Shree Balaji Namkeen & Sweets,Vijay Nagar,22.74102705,75.89503124,"Street Food, Mithai",300,3.2,12,Average
1073,Agrawal Namkeen Center,"56 Dukan, New Palasia",22.72386191,75.88471513,"Mithai, Fast Food",300,3.3,11,Average
1074,Shri Agrawal Sweets,Ranjeet Hanuman,22.70122811,75.83774228,Mithai,250,3.5,8,Good
1076,Mamaji Namkeen and Sweets,Chhavani,22.70741494,75.8749767,"Mithai, Street Food",200,3.1,6,Average
1077,Shree Nath Ke Namkeen,Sudama Nagar,22.69597111,75.83479855,"Mithai, Ice Cream",400,3.1,13,Average
1078,Gelda Namkeen and Sweets,Bombay Bazaar,22.721906,75,"Mithai, Street Food",300,3,4,Average
1079,Mousa Sweets & Namkeens,Airport Road,22.72478038,75.82431514,"Mithai, Street Food",200,3,6,Average
1080,Mauji Hot Food And Sweets,Jail Road,22.73500748,75.8909734,"Mithai, Fast Food",250,3.1,6,Average
1081,Sindh Sweets,Manik Bagh Road,22.70784331,75.85224934,"Mithai, Street Food",150,3,6,Average
1082,Jai Ambe Namkeen Sweets,Khajrana,22.71885411,75.90652619,"Mithai, Fast Food",300,3.1,7,Average
1084,Kesriram Sweets,Sarafa Bazaar,22.71785612,75.85122507,"Mithai, Fast Food",300,3.2,5,Average
1085,Mahaveer Namkeen,Rajwada,22.71855877,75.85533187,"Mithai, Street Food",200,3.1,6,Average
